Contenedor;Fecha;Muestra ;B ppal;principal;Lateral 1;Lateral 2;Lateral 3;Lateral 4;Lateral 5;Lateral 6;Lateral 7;Lateral 8;Lateral 9;Lateral 10;Lateral 11;Lateral 12;Lateral 13;Lateral 14;Lateral 15;Lateral 16;Lateral 17;Lateral 18;Promedio;Temperatura;Promedio_2
C1;23-12-2019;10H2;B 1;75;18;19;7;4;8;10;11;17;13;;;;;;;;;;18,2;25.12;46.5
C1;06-01-2020;10H2;B 1;78;18;19;9;5;8;11;17;23;14;;;;;;;;;;20,2;22.60;48
C1;13-01-2020;10H2;B 1;78;18;19;9;5;8;11;17;23;14;;;;;;;;;;20,2;24.98;48
C1;20-01-2020;10H2;B 1;54;13;15;6;11;23;8;9;;;;;;;;;;;;17,4;24.69;33.5
C1;23-12-2019;10H2;B 2;75;14;25;25;7;19;3;17;13;13;21;7;;;;;;;;19,9;25.12;44.5
C1;06-01-2020;10H2;B 2;77;14;26;26;7;19;4;21;17;13;21;8;;;;;;;;21,1;22.60;45.5
C1;13-01-2020;10H2;B 2;77;14;26;26;7;19;4;21;17;13;21;8;;;;;;;;21,1;24.98;45.5
C1;20-04-2020;10H2;B 3;81;14;23;14;13;14;17;18;26;23;;;;;;;;;;24,3;23.37;47.5
C1;27-04-2020;10H2;B 3;81;17;24;17;18;16;18;19;27;24;;;;;;;;;;26,1;22.61;49
C1;04-05-2020;10H2;B 3;81;17;25;17;18;17;18;20;27;26;;;;;;;;;;26,6;23.48;49
C1;23-12-2019;10H2;B 4;52;7;19;14;11;11;12;8;7;;;;;;;;;;;15,7;25.12;29.5
C1;06-01-2020;10H2;B 4;53;7;19;14;13;13;12;8;9;;;;;;;;;;;16,4;22.60;30
C1;13-01-2020;10H2;B 4;53;7;19;14;13;13;12;8;9;;;;;;;;;;;16,4;24.98;30
C1;20-01-2020;10H2;B 4;71;19;33;16;26;24;25;28;18;;;;;;;;;;;28,9;24.69;45
C1;20-04-2020;10H2;B 4;81;17;31;29;10;24;quebrado ;24;21;20;28;poda limpieza;;;;;;;;28,5;23.37;49
C1;27-04-2020;10H2;B 4;81;18;33;30;11;24;quebrado ;24;21;21;28;poda limpieza;;;;;;;;29,1;22.61;49.5
C1;04-05-2020;10H2;B 4;81;19;34;30;13;24;quebrado ;26;23;21;29;poda limpieza;;;;;;;;30;23.48;50
C1;23-12-2019;10H2;B 5 ;67;7;9;8;7;8;21;20;28;20;6;10;;;;;;;;17,6;25.12;37
C1;06-01-2020;10H2;B 5 ;70;7;10;9;8;8;21;21;36;21;6;10;;;;;;;;18,9;22.60;38.5
C1;13-01-2020;10H2;B 5 ;70;7;10;9;8;8;21;21;36;21;6;10;;;;;;;;18,9;24.98;38.5
C1;20-01-2020;10H2;B 5 ;43;9;16;11;7;14;11;9;;;;;;;;;;;;15;24.69;26
C1;23-12-2019;10H2;B 6;65;30;13;12;13;9;17;11;19;6;;;;;;;;;;19,5;25.12;47.5
C1;06-01-2020;10H2;B 6;65;33;13;16;14;10;18;12;19;7;;;;;;;;;;20,7;22.60;49
C1;13-01-2020;10H2;B 6;65;33;13;16;14;10;18;12;19;7;;;;;;;;;;20,7;24.98;49
C1;20-01-2020;10H2;B 6;70;23;12;2;19;23;;;;;;;;;;;;;;24,8;24.69;46.5
C1;20-04-2020;10H2;B 6;57;12;24;17;17;18;14;12;12;;;;;;;;;;;20,3;23.37;34.5
C1;27-04-2020;10H2;B 6;59;14;26;19;18;19;17;13;14;;;;;;;;;;;22,1;22.61;36.5
C1;04-05-2020;10H2;B 6;59;15;26;19;18;19;18;13;14;;;;;;;;;;;22,3;23.48;37
C1;20-04-2020;10H2;B 7;72;12;12;18;12;13;24;22;39;27;10;13;;;;;;;;22,8;23.37;42
C1;27-04-2020;10H2;B 7;74;13;13;19;14;14;27;24;40;28;11;14;;;;;;;;24,3;22.61;43.5
C1;04-05-2020;10H2;B 7;76;14;13;19;14;15;28;26;40;28;11;15;;;;;;;;24,9;23.48;45
C1;20-04-2020;10H2;B 8;68;37;15;19;19;13;21;17;23;17;;;;;;;;;;24,9;23.37;52.5
C1;27-04-2020;10H2;B 8;69;41;17;23;20;13;22;17;24;18;;;;;;;;;;26,4;22.61;55
C1;04-05-2020;10H2;B 8;69;44;18;23;23;13;22;18;24;18;;;;;;;;;;27,2;23.48;56.5
C1;23-12-2019;12H2;B 1;56;15;18;17;8;12;;;;;;;;;;;;;;21;25.18;35.5
C1;06-01-2020;12H2;B 1;58;17;20;22;14;12;;;;;;;;;;;;;;23,8;23.15;37.5
C1;13-01-2020;12H2;B 1;58;17;20;22;14;12;;;;;;;;;;;;;;23,8;25.16;37.5
C1;20-01-2020;12H2;B 2;36;8;14;13;12;11;;;;;;;;;;;;;;15,7;24.80;22
C1;20-04-2020;12H2;B 2;58;24;18;17;12;17;;;;;;;;;;;;;;24,3;23.92;41
C1;20-04-2020;12H2;B 2;58;15;16;14;17;22;12;;;;;;;;;;;;;22;23.92;36.5
C1;27-04-2020;12H2;B 2;59;24;18;19;15;18;;;;;;;;;;;;;;25,5;23.61;41.5
C1;27-04-2020;12H2;B 2;59;16;16;17;19;22;14;;;;;;;;;;;;;23,3;23.61;37.5
C1;04-05-2020;12H2;B 2;59;16;16;17;19;22;16;;;;;;;;;;;;;23,6;24.48;37.5
C1;04-05-2020;12H2;B 2;60;24;19;20;15;19;;;;;;;;;;;;;;26,2;24.48;42
C1;23-12-2019;12H2;B 3;49;18;14;13;6;2;;;;;;;;;;;;;;17;25.18;33.5
C1;06-01-2020;12H2;B 3;53;19;14;13;8;3;;;;;;;;;;;;;;18,3;23.15;36
C1;13-01-2020;12H2;B 3;53;19;14;13;8;3;;;;;;;;;;;;;;18,3;25.16;36
C1;20-01-2020;12H2;B 7;46;13;11;9;;;;;;;;;;;;;;;;19,8;24.80;29.5
C1;23-12-2019;12H2;B 8;55;11;15;12;14;12;6;;;;;;;;;;;;;17,9;25.18;33
C1;06-01-2020;12H2;B 8;56;12;16;13;15;19;8;;;;;;;;;;;;;19,9;23.15;34
C1;13-01-2020;12H2;B 8;56;12;16;13;15;19;8;;;;;;;;;;;;;19,9;25.16;34
C1;20-01-2020;12H2;B 8;58;17;22;22;16;12;;;;;;;;;;;;;;24,5;24.80;37.5
C1;20-04-2020;12H2;B 8;69;19;28;26;19;17;;;;;;;;;;;;;;29,7;23.92;44
C1;27-04-2020;12H2;B 8;69;21;28;27;19;18;;;;;;;;;;;;;;30,3;23.61;45
C1;04-05-2020;12H2;B 8;69;21;28;27;19;18;;;;;;;;;;;;;;30,3;24.48;45
C1;23-12-2019;24H3 ;B 1;66;16;14;12;12;13;;;;;;;;;;;;;;22,2;25.38;41
C1;06-01-2020;24H3 ;B 1;68;23;14;12;13;15;;;;;;;;;;;;;;24,2;23.54;45.5
C1;13-01-2020;24H3 ;B 1;68;23;14;12;13;15;;;;;;;;;;;;;;24,2;25.35;45.5
C1;20-01-2020;24H3 ;B 1;69;23;16;12;13;17;;;;;;;;;;;;;;25;24.89;46
C1;20-04-2020;24H3 ;B 1;75;17;10;poda limpieza ;13;10;;;;;;;;;;;;;;25;24.02;46
C1;27-04-2020;24H3 ;B 1;79;19;12;poda limpieza ;14;13;;;;;;;;;;;;;;27,4;23.60;49
C1;04-05-2020;24H3 ;B 1;80;19;13;poda limpieza ;15;14;;;;;;;;;;;;;;28,2;24.06;49.5
C1;23-12-2019;24H3 ;B 2;68;12;12;9;11;;;;;;;;;;;;;;;22,4;25.38;40
C1;06-01-2020;24H3 ;B 2;74;13;15;9;11;;;;;;;;;;;;;;;24,4;23.54;43.5
C1;13-01-2020;24H3 ;B 2;74;13;15;9;15;;;;;;;;;;;;;;;25,2;25.35;43.5
C1;20-01-2020;24H3 ;B 2;74;14;15;10;16;;;;;;;;;;;;;;;25,8;24.89;44
C1;20-04-2020;24H3 ;B 2;84;21;19;14;18;;;;;;;;;;;;;;;31,2;24.02;52.5
C1;27-04-2020;24H3 ;B 2;89;23;21;17;21;;;;;;;;;;;;;;;34,2;23.60;56
C1;04-05-2020;24H3 ;B 2;90;24;22;18;22;;;;;;;;;;;;;;;35,2;24.06;57
C1;23-12-2019;24H3 ;B 3;39;8;7;5;;;;;;;;;;;;;;;;14,8;25.38;23.5
C1;06-01-2020;24H3 ;B 3;41;9;7;5;;;;;;;;;;;;;;;;15,5;23.54;25
C1;13-01-2020;24H3 ;B 3;41;12;7;5;;;;;;;;;;;;;;;;16,3;25.35;26.5
C1;20-01-2020;24H3 ;B 3;41;12;7;5;;;;;;;;;;;;;;;;16,3;24.89;26.5
C1;20-04-2020;24H3 ;B 3;47;13;14;17;;;;;;;;;;;;;;;;22,8;24.02;30
C1;27-04-2020;24H3 ;B 3;49;14;15;19;;;;;;;;;;;;;;;;24,3;23.60;31.5
C1;04-05-2020;24H3 ;B 3;50;15;16;21;;;;;;;;;;;;;;;;25,5;24.06;32.5
C1;23-12-2019;24H3 ;B 4;77;13;15;17;15;15;12;14;13;21;13;17;9;;;;;;;19,3;25.38;45
C1;06-01-2020;24H3 ;B 4;78;13;15;17;15;19;13;15;14;24;13;18;34;;;;;;;22,2;23.54;45.5
C1;13-01-2020;24H3 ;B 4;78;13;15;17;15;19;13;15;14;24;13;18;9;;;;;;;20,2;25.35;45.5
C1;20-01-2020;24H3 ;B 4;78;13;15;17;15;21;13;16;15;23;13;18;10;;;;;;;20,5;24.89;45.5
C1;20-04-2020;24H3 ;B 4;80;19;19;23;16;22;18;17;19;24;13;18;12;;;;;;;23,1;24.02;49.5
C1;27-04-2020;24H3 ;B 4;81;20;20;24;17;24;18;17;21;26;14;19;14;;;;;;;24,2;23.60;50.5
C1;04-05-2020;24H3 ;B 4;81;22;21;24;18;26;18;18;23;27;17;20;15;;;;;;;25,4;24.06;51.5
C1;23-12-2019;26H3 ;B 1;81;6;5;15;14;10;12;14;18;12;9;14;17;4;;;;;;16,5;25.74;43.5
C1;06-01-2020;26H3 ;B 1;82;6;5;15;16;10;12;16;20;12;9;14;22;5;;;;;;17,4;23.73;44
C1;13-01-2020;26H3 ;B 1;82;6;5;15;16;10;12;16;20;12;9;14;22;5;;;;;;17,4;25.66;44
C1;20-01-2020;26H3 ;B 1;82;6;5;15;16;10;12;16;20;12;9;14;22;5;;;;;;17,4;25.06;44
C1;20-04-2020;26H3 ;B 1;90;12;7;16;17;14;14;21;26;16;13;14;23;8;;;;;;20,8;24.91;51
C1;27-04-2020;26H3 ;B 1;90;13;8;17;18;15;18;22;27;18;15;17;26;10;;;;;;22,4;24.78;51.5
C1;04-05-2020;26H3 ;B 1;90;14;10;18;19;16;19;24;28;19;16;18;28;11;;;;;;23,6;25.14;52
C1;23-12-2019;26H3 ;B 3;57;30;27;31;20;20;17;12;5;7;;;;;;;;;;22,6;25.74;43.5
C1;06-01-2020;26H3 ;B 3;63;32;29;31;20;20;17;16;6;12;;;;;;;;;;24,6;23.73;47.5
C1;13-01-2020;26H3 ;B 3;63;32;29;31;20;20;17;16;6;12;;;;;;;;;;24,6;25.66;47.5
C1;20-01-2020;26H3 ;B 3;63;32;29;31;21;20;19;19;6;13;;;;;;;;;;25,3;25.06;47.5
C1;20-04-2020;26H3 ;B 3;68;35;31;36;25;26;22;21;12;16;;;;;;;;;;29,2;24.91;51.5
C1;27-04-2020;26H3 ;B 3;68;37;32;37;26;27;24;23;25;19;;;;;;;;;;31,8;24.78;52.5
C1;04-05-2020;26H3 ;B 3;69;38;33;38;27;29;27;25;26;21;;;;;;;;;;33,3;25.14;53.5
C1;23-12-2019;26H3 ;B 4;47;7;3;4;4;;;;;;;;;;;;;;;13;25.74;27
C1;06-01-2020;26H3 ;B 4;47;9;3;5;5;;;;;;;;;;;;;;;13,8;23.73;28
C1;13-01-2020;26H3 ;B 4;47;9;3;5;5;;;;;;;;;;;;;;;13,8;25.66;28
C1;20-01-2020;26H3 ;B 4;47;9;4;6;6;;;;;;;;;;;;;;;14,4;25.06;28
C1;20-04-2020;26H3 ;B 4;53;15;12;12;10;;;;;;;;;;;;;;;20,4;24.91;34
C1;27-04-2020;26H3 ;B 4;54;17;13;15;14;;;;;;;;;;;;;;;22,6;24.78;35.5
C1;04-05-2020;26H3 ;B 4;56;18;15;16;16;;;;;;;;;;;;;;;24,2;25.14;37
C1;23-12-2019;26H3 ;B 5 ;42;5;4;4;9;4;5;;;;;;;;;;;;;10,4;25.74;23.5
C1;06-01-2020;26H3 ;B 5 ;47;5;5;4;10;5;5;;;;;;;;;;;;;11,6;23.73;26
C1;13-01-2020;26H3 ;B 5 ;47;5;5;4;10;5;5;;;;;;;;;;;;;11,6;25.66;26
C1;20-01-2020;26H3 ;B 5 ;47;7;5;6;10;6;5;;;;;;;;;;;;;12,3;25.06;27
C1;20-04-2020;26H3 ;B 5 ;49;8;12;12;14;9;12;;;;;;;;;;;;;16,6;24.91;28.5
C1;27-04-2020;26H3 ;B 5 ;51;10;13;12;14;10;13;;;;;;;;;;;;;17,6;24.78;30.5
C1;04-05-2020;26H3 ;B 5 ;51;11;13;13;14;10;14;;;;;;;;;;;;;18;25.14;31
C1;23-12-2019;2H2;B 2;45;2;11;7;2;;;;;;;;;;;;;;;13,4;25.29;23.5
C1;13-01-2020;2H2;B 2;46;3;11;7;2;;;;;;;;;;;;;;;13,8;25.06;24.5
C1;20-04-2020;2H2;B 2;50;9;17;12;7;;;;;;;;;;;;;;;19;23.47;29.5
C1;27-04-2020;2H2;B 2;52;11;17;13;8;;;;;;;;;;;;;;;20,2;23.06;31.5
C1;04-05-2020;2H2;B 2;53;12;18;14;9;;;;;;;;;;;;;;;21,2;24.55;32.5
C1;23-12-2019;2H2;B 3;50;7;7;12;14;16;8;5;17;27;21;13;;;;;;;;16,4;25.29;28.5
C1;13-01-2020;2H2;B 3;56;9;9;12;14;17;8;6;18;28;22;14;;;;;;;;17,8;25.06;32.5
C1;20-04-2020;2H2;B 3;63;13;14;17;19;19;13;12;22;36;26;18;;;;;;;;22,7;23.47;38
C1;27-04-2020;2H2;B 3;64;13;15;18;19;21;15;16;23;36;26;20;;;;;;;;23,8;23.06;38.5
C1;04-05-2020;2H2;B 3;65;14;16;19;19;21;15;17;23;38;28;21;;;;;;;;24,7;24.55;39.5
C1;23-12-2019;2H2;B 4;44;18;10;;;;;;;;;;;;;;;;;24;25.29;31
C1;13-01-2020;2H2;B 4;45;19;10;;;;;;;;;;;;;;;;;24,7;25.06;32
C1;20-04-2020;2H2;B 4;47;23;14;;;;;;;;;;;;;;;;;28;23.47;35
C1;27-04-2020;2H2;B 4;49;24;15;;;;;;;;;;;;;;;;;29,3;23.06;36.5
C1;04-05-2020;2H2;B 4;49;26;17;;;;;;;;;;;;;;;;;30,7;24.55;37.5
C1;23-12-2019;2H2;B 5 ;57;8;6;5;6;12;16;5;7;;;;;;;;;;;13,6;25.29;32.5
C1;13-01-2020;2H2;B 5 ;57;8;7;5;6;12;16;6;8;;;;;;;;;;;13,9;25.06;32.5
C1;23-12-2019;2H2;B 6;56;5;9;10;5;2;;;;;;;;;;;;;;14,5;25.29;30.5
C1;13-01-2020;2H2;B 6;56;6;9;10;6;3;;;;;;;;;;;;;;15;25.06;31
C1;20-04-2020;2H2;B 7;51;15;23;14;18;;;;;;;;;;;;;;;24,2;23.47;33
C1;27-04-2020;2H2;B 7;52;16;24;14;19;;;;;;;;;;;;;;;25;23.06;34
C1;04-05-2020;2H2;B 7;55;17;25;17;21;;;;;;;;;;;;;;;27;24.55;36
C1;06-01-2020;2H2 ;B 2;46;3;11;7;2;;;;;;;;;;;;;;;13,8;22.89;24.5
C1;20-01-2020;2H2 ;B 2;47;3;11;7;2;;;;;;;;;;;;;;;14;24.96;25
C1;06-01-2020;2H2 ;B 3;56;9;9;12;14;17;8;6;18;28;22;14;;;;;;;;17,8;22.89;32.5
C1;20-01-2020;2H2 ;B 3;56;9;10;12;15;17;9;7;18;29;22;15;;;;;;;;18,3;24.96;32.5
C1;06-01-2020;2H2 ;B 4;45;19;10;;;;;;;;;;;;;;;;;24,7;22.89;32
C1;20-01-2020;2H2 ;B 4;46;19;10;;;;;;;;;;;;;;;;;25;24.96;32.5
C1;06-01-2020;2H2 ;B 5 ;57;8;7;5;6;12;16;6;8;;;;;;;;;;;13,9;22.89;32.5
C1;20-01-2020;2H2 ;B 5 ;57;8;7;5;6;13;17;7;9;;;;;;;;;;;14,3;24.96;32.5
C1;06-01-2020;2H2 ;B 6;56;6;9;10;6;3;;;;;;;;;;;;;;15;22.89;31
C1;20-01-2020;2H2 ;B 6;56;6;10;11;7;3;;;;;;;;;;;;;;15,5;24.96;31
C1;23-12-2019;32H3;B 1;61;13;18;18;16;10;15;16;13;12;4;;;;;;;;;17,8;23.99;37
C1;06-01-2020;32H3;B 1;61;14;18;19;18;11;15;17;20;13;6;;;;;;;;;19,3;23.05;37.5
C1;13-01-2020;32H3;B 1;61;14;18;19;18;11;15;17;20;13;6;;;;;;;;;19,3;24.16;37.5
C1;20-01-2020;32H3;B 1;61;14;18;21;18;13;15;17;20;13;7;;;;;;;;;19,7;23.84;37.5
C1;20-04-2020;32H3;B 1;65;18;19;23;25;14;17;18;23;17;15;;;;;;;;;23,1;24.56;41.5
C1;27-04-2020;32H3;B 1;65;19;21;24;27;17;18;19;24;18;17;;;;;;;;;24,5;24.51;42
C1;04-05-2020;32H3;B 1;66;19;21;24;28;17;18;19;25;18;18;;;;;;;;;24,8;24.99;42.5
C1;23-12-2019;32H3;B 3;44;4;10;4;3;3;4;;;;;;;;;;;;;10,3;23.99;24
C1;06-01-2020;32H3;B 3;48;5;10;4;3;3;4;;;;;;;;;;;;;11;23.05;26.5
C1;13-01-2020;32H3;B 3;48;5;10;4;3;3;4;;;;;;;;;;;;;11;24.16;26.5
C1;20-01-2020;32H3;B 3;48;6;10;6;3;3;5;;;;;;;;;;;;;11,6;23.84;27
C1;20-04-2020;32H3;B 3;53;10;14;12;8;7;12;;;;;;;;;;;;;16,6;24.56;31.5
C1;27-04-2020;32H3;B 3;53;10;15;12;8;7;12;;;;;;;;;;;;;16,7;24.51;31.5
C1;04-05-2020;32H3;B 3;53;11;16;13;9;8;13;;;;;;;;;;;;;17,6;24.99;32
C1;23-12-2019;32H3;B 4;42;14;3;;;;;;;;;;;;;;;;;19,7;23.99;28
C1;06-01-2020;32H3;B 4;43;14;3;4;;;;;;;;;;;;;;;;16;23.05;28.5
C1;13-01-2020;32H3;B 4;43;14;3;4;;;;;;;;;;;;;;;;16;24.16;28.5
C1;20-01-2020;32H3;B 4;43;15;3;4;;;;;;;;;;;;;;;;16,3;23.84;29
C1;20-04-2020;32H3;B 4;50;18;6;9;;;;;;;;;;;;;;;;20,8;24.56;34
C1;27-04-2020;32H3;B 4;50;18;7;10;;;;;;;;;;;;;;;;21,3;24.51;34
C1;04-05-2020;32H3;B 4;51;19;9;11;;;;;;;;;;;;;;;;22,5;24.99;35
C1;23-12-2019;32H3;B 5 ;14;40;13;37;;;;;;;;;;;;;;;;26;23.99;27
C1;06-01-2020;32H3;B 5 ;15;40;12;37;;;;;;;;;;;;;;;;26;23.05;27.5
C1;13-01-2020;32H3;B 5 ;15;40;12;37;;;;;;;;;;;;;;;;26;24.16;27.5
C1;20-01-2020;32H3;B 5 ;15;40;12;37;;;;;;;;;;;;;;;;26;23.84;27.5
C1;20-04-2020;32H3;B 5 ;19;45;17;47;;;;;;;;;;;;;;;;32;24.56;32
C1;27-04-2020;32H3;B 5 ;21;46;17;47;;;;;;;;;;;;;;;;32,8;24.51;33.5
C1;04-05-2020;32H3;B 5 ;22;47;18;48;;;;;;;;;;;;;;;;33,8;24.99;34.5
C1;23-12-2019;32H3;B 6;50;20;10;5;;;;;;;;;;;;;;;;21,3;23.99;35
C1;06-01-2020;32H3;B 6;50;21;10;5;;;;;;;;;;;;;;;;21,5;23.05;35.5
C1;13-01-2020;32H3;B 6;50;21;10;5;;;;;;;;;;;;;;;;21,5;24.16;35.5
C1;20-01-2020;32H3;B 6;50;21;10;5;;;;;;;;;;;;;;;;21,5;23.84;35.5
C1;20-04-2020;32H3;B 6;53;23;14;8;;;;;;;;;;;;;;;;24,5;24.56;38
C1;27-04-2020;32H3;B 6;54;23;15;10;;;;;;;;;;;;;;;;25,5;24.51;38.5
C1;04-05-2020;32H3;B 6;56;25;17;11;;;;;;;;;;;;;;;;27,3;24.99;40.5
C1;23-12-2019;32H3;B 7;64;11;10;22;23;12;17;9;;;;;;;;;;;;21;23.99;37.5
C1;06-01-2020;32H3;B 7;71;11;10;26;24;16;17;9;;;;;;;;;;;;23;23.05;41
C1;13-01-2020;32H3;B 7;71;11;10;26;24;16;17;9;;;;;;;;;;;;23;24.16;41
C1;20-01-2020;32H3;B 7;71;11;10;26;24;16;17;9;;;;;;;;;;;;23;23.84;41
C1;20-04-2020;32H3;B 7;78;13;17;28;29;19;17;13;;;;;;;;;;;;26,8;24.56;45.5
C1;27-04-2020;32H3;B 7;78;13;18;28;24;19;18;15;;;;;;;;;;;;26,6;24.51;45.5
C1;04-05-2020;32H3;B 7;78;14;19;28;27;19;20;17;;;;;;;;;;;;27,8;24.99;46
C1;23-12-2019;34H3;B 1;53;13;12;6;10;21;8;2;;;;;;;;;;;;15,6;25.06;33
C1;06-01-2020;34H3;B 1;54;13;15;6;11;23;8;9;;;;;;;;;;;;17,4;23.20;33.5
C1;13-01-2020;34H3;B 1;54;13;15;6;11;23;8;9;;;;;;;;;;;;17,4;25.36;33.5
C1;20-01-2020;34H3;B 1;48;20;12;;;;;;;;;;;;;;;;;26,7;24.65;34
C1;20-04-2020;34H3;B 1;59;17;17;12;12;25;13;10;;;;;;;;;;;;20,6;24.21;38
C1;27-04-2020;34H3;B 1;59;18;17;12;14;25;13;11;;;;;;;;;;;;21,1;23.91;38.5
C1;04-05-2020;34H3;B 1;60;19;19;16;15;27;14;12;;;;;;;;;;;;22,8;24.45;39.5
C1;23-12-2019;34H3;B 2;37;11;11;;;;;;;;;;;;;;;;;19,7;25.06;24
C1;06-01-2020;34H3;B 2;40;11;11;;;;;;;;;;;;;;;;;20,7;23.20;25.5
C1;13-01-2020;34H3;B 2;40;11;11;;;;;;;;;;;;;;;;;20,7;25.36;25.5
C1;20-01-2020;34H3;B 2;53;19;14;13;8;5;;;;;;;;;;;;;;18,7;24.65;36
C1;20-04-2020;34H3;B 2;43;12;11;;;;;;;;;;;;;;;;;22;24.21;27.5
C1;27-04-2020;34H3;B 2;43;12;11;;;;;;;;;;;;;;;;;22;23.91;27.5
C1;04-05-2020;34H3;B 2;43;12;11;;;;;;;;;;;;;;;;;22;24.45;27.5
C1;23-12-2019;34H3;B 3;54;14;7;16;;;;;;;;;;;;;;;;22,8;25.06;34
C1;06-01-2020;34H3;B 3;46;Quebrado ;13;23;;;;;;;;;;;;;;;;27,3;23.20;46
C1;13-01-2020;34H3;B 3;56;Quebrado ;13;23;;;;;;;;;;;;;;;;30,7;25.36;56
C1;20-01-2020;34H3;B 3;15;;;;;;;;;;;;;;;;;;;15;24.65;15
C1;23-12-2019;34H3;B 4;71;19;27;16;22;21;23;26;11;;;;;;;;;;;26,2;25.06;45
C1;06-01-2020;34H3;B 4;71;19;33;16;26;24;25;28;18;;;;;;;;;;;28,9;23.20;45
C1;13-01-2020;34H3;B 4;71;19;33;16;26;24;25;28;18;;;;;;;;;;;28,9;25.36;45
C1;20-01-2020;34H3;B 4;58;;;;;;;;;;;;;;;;;;;58;24.65;58
C1;20-04-2020;34H3;B 4;73;24;35;18;28;26;27;36;28;;;;;;;;;;;32,8;24.21;48.5
C1;27-04-2020;34H3;B 4;73;24;35;19;28;27;27;37;28;;;;;;;;;;;33,1;23.91;48.5
C1;04-05-2020;34H3;B 4;73;25;35;19;28;28;27;37;29;;;;;;;;;;;33,4;24.45;49
C1;23-12-2019;34H3;B 5 ;42;8;14;9;7;13;11;9;;;;;;;;;;;;14,1;25.06;25
C1;06-01-2020;34H3;B 5 ;43;9;16;11;7;14;11;9;;;;;;;;;;;;15;23.20;26
C1;13-01-2020;34H3;B 5 ;43;9;16;11;7;14;11;9;;;;;;;;;;;;15;25.36;26
